FlightNumber,Date,BoosterVersion,PayloadMass,Orbit,LaunchSite,Outcome,Flights,GridFins,Reused,Legs,LandingPad,Block,ReusedCount,Serial,Longitude,Latitude
25,9/1/2016,Falcon 9,5500,GTO,CCSFS SLC 40,None ASDS,1,TRUE,FALSE,TRUE,5e9e3032383ecb6bb234e7ca,3,0,B1028,-80.577366,28.5618571
26,1/14/2017,Falcon 9,9600,PO,VAFB SLC 4E,True ASDS,1,TRUE,FALSE,TRUE,5e9e3033383ecbb9e534e7cc,3,1,B1029,-120.610829,34.632093
27,2/19/2017,Falcon 9,2490,ISS,KSC LC 39A,True RTLS,1,TRUE,FALSE,TRUE,5e9e3032383ecb267a34e7c7,3,1,B1031,-80.6039558,28.6080585
28,3/16/2017,Falcon 9,5600,GTO,KSC LC 39A,None None,1,FALSE,FALSE,FALSE,,3,0,B1030,-80.6039558,28.6080585
29,3/30/2017,Falcon 9,5300,GTO,KSC LC 39A,True ASDS,2,TRUE,TRUE,TRUE,5e9e3032383ecb6bb234e7ca,2,1,B1021,-80.6039558,28.6080585
30,5/1/2017,Falcon 9,6123.547647,LEO,KSC LC 39A,True RTLS,1,TRUE,FALSE,TRUE,5e9e3032383ecb267a34e7c7,3,1,B1032,-80.6039558,28.6080585
31,5/15/2017,Falcon 9,6070,GTO,KSC LC 39A,None None,1,FALSE,FALSE,FALSE,,3,0,B1034,-80.6039558,28.6080585
32,6/3/2017,Falcon 9,2708,ISS,KSC LC 39A,True RTLS,1,TRUE,FALSE,TRUE,5e9e3032383ecb267a34e7c7,3,1,B1035,-80.6039558,28.6080585
33,6/23/2017,Falcon 9,3669,GTO,KSC LC 39A,True ASDS,2,TRUE,TRUE,TRUE,5e9e3032383ecb6bb234e7ca,3,1,B1029,-80.6039558,28.6080585
34,6/25/2017,Falcon 9,9600,PO,VAFB SLC 4E,True ASDS,1,TRUE,FALSE,TRUE,5e9e3033383ecbb9e534e7cc,3,1,B1036,-120.610829,34.632093
35,7/5/2017,Falcon 9,6761,GTO,KSC LC 39A,None None,1,FALSE,FALSE,FALSE,,3,0,B1037,-80.6039558,28.6080585
36,8/14/2017,Falcon 9,2910,ISS,KSC LC 39A,True RTLS,1,TRUE,FALSE,TRUE,5e9e3032383ecb267a34e7c7,4,1,B1039,-80.6039558,28.6080585
37,8/24/2017,Falcon 9,475,SSO,VAFB SLC 4E,True ASDS,1,TRUE,FALSE,TRUE,5e9e3033383ecbb9e534e7cc,3,1,B1038,-120.610829,34.632093
38,9/7/2017,Falcon 9,4990,LEO,KSC LC 39A,True RTLS,1,TRUE,FALSE,TRUE,5e9e3032383ecb267a34e7c7,4,1,B1040,-80.6039558,28.6080585
39,10/9/2017,Falcon 9,9600,PO,VAFB SLC 4E,True ASDS,1,TRUE,FALSE,TRUE,5e9e3033383ecbb9e534e7cc,4,1,B1041,-120.610829,34.632093
40,10/11/2017,Falcon 9,5200,GTO,KSC LC 39A,True ASDS,2,TRUE,TRUE,TRUE,5e9e3032383ecb6bb234e7ca,3,1,B1031,-80.6039558,28.6080585
41,10/30/2017,Falcon 9,3700,GTO,KSC LC 39A,True ASDS,1,TRUE,FALSE,TRUE,5e9e3032383ecb6bb234e7ca,4,0,B1042,-80.6039558,28.6080585
42,12/15/2017,Falcon 9,2205,ISS,CCSFS SLC 40,True RTLS,2,TRUE,TRUE,TRUE,5e9e3032383ecb267a34e7c7,3,1,B1035,-80.577366,28.5618571
43,12/23/2017,Falcon 9,9600,PO,VAFB SLC 4E,True Ocean,2,TRUE,TRUE,FALSE,,3,1,B1036,-120.610829,34.632093
44,1/8/2018,Falcon 9,6123.547647,LEO,CCSFS SLC 40,True RTLS,1,TRUE,FALSE,TRUE,5e9e3032383ecb267a34e7c7,4,1,B1043,-80.577366,28.5618571
45,1/31/2018,Falcon 9,4230,GTO,CCSFS SLC 40,True Ocean,2,TRUE,TRUE,TRUE,,3,1,B1032,-80.577366,28.5618571
46,3/6/2018,Falcon 9,6092,GTO,CCSFS SLC 40,None None,1,TRUE,FALSE,TRUE,,4,0,B1044,-80.577366,28.5618571
47,3/30/2018,Falcon 9,9600,PO,VAFB SLC 4E,None None,2,TRUE,TRUE,TRUE,,4,1,B1041,-120.610829,34.632093
48,4/2/2018,Falcon 9,2760,ISS,CCSFS SLC 40,None None,2,TRUE,TRUE,TRUE,,4,1,B1039,-80.577366,28.5618571
49,4/18/2018,Falcon 9,350,HEO,CCSFS SLC 40,True ASDS,1,TRUE,FALSE,TRUE,5e9e3032383ecb6bb234e7ca,4,1,B1045,-80.577366,28.5618571
50,5/11/2018,Falcon 9,3750,GTO,KSC LC 39A,True ASDS,1,TRUE,FALSE,TRUE,5e9e3032383ecb6bb234e7ca,5,3,B1046,-80.6039558,28.6080585
51,6/4/2018,Falcon 9,5383.85,GTO,CCSFS SLC 40,None None,2,FALSE,TRUE,FALSE,,4,1,B1040,-80.577366,28.5618571
52,6/29/2018,Falcon 9,2410,ISS,CCSFS SLC 40,None None,2,FALSE,TRUE,FALSE,,4,1,B1045,-80.577366,28.5618571
53,7/22/2018,Falcon 9,7076,GTO,CCSFS SLC 40,True ASDS,1,TRUE,FALSE,TRUE,5e9e3032383ecb6bb234e7ca,5,2,B1047,-80.577366,28.5618571
54,7/25/2018,Falcon 9,9600,PO,VAFB SLC 4E,True ASDS,1,TRUE,FALSE,TRUE,5e9e3033383ecbb9e534e7cc,5,4,B1048,-120.610829,34.632093
55,8/7/2018,Falcon 9,5800,GTO,CCSFS SLC 40,True ASDS,2,TRUE,TRUE,TRUE,5e9e3032383ecb6bb234e7ca,5,3,B1046,-80.577366,28.5618571
56,9/10/2018,Falcon 9,7060,GTO,CCSFS SLC 40,True ASDS,1,TRUE,FALSE,TRUE,5e9e3032383ecb6bb234e7ca,5,9,B1049,-80.577366,28.5618571
57,10/8/2018,Falcon 9,2800,SSO,VAFB SLC 4E,True RTLS,2,TRUE,TRUE,TRUE,5e9e3032383ecb554034e7c9,5,4,B1048,-120.610829,34.632093
58,11/15/2018,Falcon 9,3000,GTO,KSC LC 39A,True ASDS,2,TRUE,TRUE,TRUE,5e9e3032383ecb6bb234e7ca,5,2,B1047,-80.6039558,28.6080585
59,12/3/2018,Falcon 9,4000,SSO,VAFB SLC 4E,True ASDS,3,TRUE,TRUE,TRUE,5e9e3033383ecbb9e534e7cc,5,3,B1046,-120.610829,34.632093
60,12/5/2018,Falcon 9,2573,ISS,CCSFS SLC 40,False RTLS,1,TRUE,FALSE,TRUE,5e9e3032383ecb267a34e7c7,5,0,B1050,-80.577366,28.5618571
61,12/23/2018,Falcon 9,4400,MEO,CCSFS SLC 40,None None,1,FALSE,FALSE,FALSE,,5,0,B1054,-80.577366,28.5618571
62,1/11/2019,Falcon 9,9600,PO,VAFB SLC 4E,True ASDS,2,TRUE,TRUE,TRUE,5e9e3033383ecbb9e534e7cc,5,9,B1049,-120.610829,34.632093
63,3/2/2019,Falcon 9,12259,ISS,KSC LC 39A,True ASDS,1,TRUE,FALSE,TRUE,5e9e3032383ecb6bb234e7ca,5,12,B1051,-80.6039558,28.6080585
64,5/4/2019,Falcon 9,2482,ISS,CCSFS SLC 40,True ASDS,1,TRUE,FALSE,TRUE,5e9e3032383ecb6bb234e7ca,5,3,B1056,-80.577366,28.5618571
65,5/24/2019,Falcon 9,13200,VLEO,CCSFS SLC 40,True ASDS,3,TRUE,TRUE,TRUE,5e9e3032383ecb6bb234e7ca,5,9,B1049,-80.577366,28.5618571
66,6/12/2019,Falcon 9,1425,SSO,VAFB SLC 4E,True RTLS,2,TRUE,TRUE,TRUE,5e9e3032383ecb554034e7c9,5,12,B1051,-120.610829,34.632093
67,7/25/2019,Falcon 9,2227.7,ISS,CCSFS SLC 40,True RTLS,2,TRUE,TRUE,TRUE,5e9e3032383ecb267a34e7c7,5,3,B1056,-80.577366,28.5618571
68,8/6/2019,Falcon 9,6500,GTO,CCSFS SLC 40,None None,3,FALSE,TRUE,FALSE,,5,2,B1047,-80.577366,28.5618571
69,11/11/2019,Falcon 9,15600,VLEO,CCSFS SLC 40,True ASDS,4,TRUE,TRUE,TRUE,5e9e3032383ecb6bb234e7ca,5,4,B1048,-80.577366,28.5618571
70,12/5/2019,Falcon 9,5000,ISS,CCSFS SLC 40,True ASDS,1,TRUE,FALSE,TRUE,5e9e3032383ecb6bb234e7ca,5,5,B1059,-80.577366,28.5618571
71,12/17/2019,Falcon 9,6800,GTO,CCSFS SLC 40,True ASDS,3,TRUE,TRUE,TRUE,5e9e3032383ecb6bb234e7ca,5,3,B1056,-80.577366,28.5618571
72,1/7/2020,Falcon 9,15600,VLEO,CCSFS SLC 40,True ASDS,4,TRUE,TRUE,TRUE,5e9e3032383ecb6bb234e7ca,5,9,B1049,-80.577366,28.5618571
73,1/19/2020,Falcon 9,6123.547647,SO,KSC LC 39A,None None,4,FALSE,TRUE,FALSE,,5,3,B1046,-80.6039558,28.6080585
74,1/29/2020,Falcon 9,15600,VLEO,CCSFS SLC 40,True ASDS,3,TRUE,TRUE,TRUE,5e9e3032383ecb6bb234e7ca,5,12,B1051,-80.577366,28.5618571
75,2/17/2020,Falcon 9,15600,VLEO,CCSFS SLC 40,False ASDS,4,TRUE,TRUE,TRUE,5e9e3032383ecb6bb234e7ca,5,3,B1056,-80.577366,28.5618571
76,3/7/2020,Falcon 9,1977,ISS,CCSFS SLC 40,True RTLS,2,TRUE,TRUE,TRUE,5e9e3032383ecb267a34e7c7,5,5,B1059,-80.577366,28.5618571
77,3/18/2020,Falcon 9,15600,VLEO,KSC LC 39A,False ASDS,5,TRUE,TRUE,TRUE,5e9e3032383ecb6bb234e7ca,5,4,B1048,-80.6039558,28.6080585
78,4/22/2020,Falcon 9,15600,VLEO,KSC LC 39A,True ASDS,4,TRUE,TRUE,TRUE,5e9e3032383ecb6bb234e7ca,5,12,B1051,-80.6039558,28.6080585
79,5/30/2020,Falcon 9,9525,ISS,KSC LC 39A,True ASDS,1,TRUE,FALSE,TRUE,5e9e3032383ecb6bb234e7ca,5,13,B1058,-80.6039558,28.6080585
80,6/4/2020,Falcon 9,15600,VLEO,CCSFS SLC 40,True ASDS,5,TRUE,TRUE,TRUE,5e9e3033383ecbb9e534e7cc,5,9,B1049,-80.577366,28.5618571
81,6/13/2020,Falcon 9,15600,VLEO,CCSFS SLC 40,True ASDS,3,TRUE,TRUE,TRUE,5e9e3032383ecb6bb234e7ca,5,5,B1059,-80.577366,28.5618571
82,6/30/2020,Falcon 9,3880,MEO,CCSFS SLC 40,True ASDS,1,TRUE,FALSE,TRUE,5e9e3033383ecbb9e534e7cc,5,12,B1060,-80.577366,28.5618571
83,7/20/2020,Falcon 9,6123.547647,GEO,CCSFS SLC 40,True ASDS,2,TRUE,TRUE,TRUE,5e9e3033383ecbb9e534e7cc,5,13,B1058,-80.577366,28.5618571
84,8/18/2020,Falcon 9,15600,VLEO,CCSFS SLC 40,True ASDS,6,TRUE,TRUE,TRUE,5e9e3032383ecb6bb234e7ca,5,9,B1049,-80.577366,28.5618571
85,8/30/2020,Falcon 9,1600,SSO,CCSFS SLC 40,True RTLS,4,TRUE,TRUE,TRUE,5e9e3032383ecb267a34e7c7,5,5,B1059,-80.577366,28.5618571
86,9/3/2020,Falcon 9,15600,VLEO,KSC LC 39A,True ASDS,2,TRUE,TRUE,TRUE,5e9e3032383ecb6bb234e7ca,5,12,B1060,-80.6039558,28.6080585
87,10/6/2020,Falcon 9,15600,VLEO,KSC LC 39A,True ASDS,3,TRUE,TRUE,TRUE,5e9e3032383ecb6bb234e7ca,5,13,B1058,-80.6039558,28.6080585
88,10/18/2020,Falcon 9,15600,VLEO,KSC LC 39A,True ASDS,6,TRUE,TRUE,TRUE,5e9e3032383ecb6bb234e7ca,5,12,B1051,-80.6039558,28.6080585
89,10/24/2020,Falcon 9,15600,VLEO,CCSFS SLC 40,True ASDS,3,TRUE,TRUE,TRUE,5e9e3033383ecbb9e534e7cc,5,12,B1060,-80.577366,28.5618571
90,11/5/2020,Falcon 9,3681,MEO,CCSFS SLC 40,True ASDS,1,TRUE,FALSE,TRUE,5e9e3032383ecb6bb234e7ca,5,8,B1062,-80.577366,28.5618571
